Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0151857,Pleocytosis,,-5.5,15,8.8,30337,31,400,6,1.5,0.61,1441|3553|3576|3684|3689|6347,CSF3R|IL1B|CXCL8|ITGAM|ITGB2|CCL2,-4,DEGs
DisGeNET,35,C1306587,Acute encephalopathy,,-5.5,15,8.8,30337,31,400,6,1.5,0.61,3553|3557|3576|3586|4318|6696,IL1B|IL1RN|CXCL8|IL10|MMP9|SPP1,-4,DEGs
COVID,200,COVID050,RNA_Wyler_Calu-3_24h_Up,,-5.5,4,6.1,30337,300,400,16,4,0.98,2069|2353|3552|3576|3624|3656|4084|5329|5743|5806|6364|7538|9473|10135|10581|64651,EREG|FOS|IL1A|CXCL8|INHBA|IRAK2|MXD1|PLAUR|PTGS2|PTX3|CCL20|ZFP36|THEMIS2|NAMPT|IFITM2|CSRNP1,-4,DEGs
DisGeNET,35,C0024314,Lymphoproliferative Disorders,,-5.5,4,6.1,30337,300,400,16,4,0.98,929|943|969|2215|2268|3383|3586|3718|4311|5788|6556|6696|7852|8809|9021|338339,CD14|TNFRSF8|CD69|FCGR3B|FGR|ICAM1|IL10|JAK3|MME|PTPRC|SLC11A1|SPP1|CXCR4|IL18R1|SOCS3|CLEC4D,-4,DEGs
DisGeNET,35,C0085695,Chronic gastritis,,-5.5,6.7,7,30337,114,400,10,2.5,0.78,3552|3553|3557|3576|3586|5743|6279|6402|7099|81793,IL1A|IL1B|IL1RN|CXCL8|IL10|PTGS2|S100A8|SELL|TLR4|TLR10,-4,DEGs
DisGeNET,35,C0019159,Hepatitis A,,-5.5,3.4,5.8,30337,451,400,20,5,1.1,2316|3036|3552|3553|3557|3576|3586|4210|4923|5265|5743|6347|6696|7099|9021|10135|23135|23237|56729|114548,FLNA|HAS1|IL1A|IL1B|IL1RN|CXCL8|IL10|MEFV|NTSR1|SERPINA1|PTGS2|CCL2|SPP1|TLR4|SOCS3|NAMPT|KDM6B|ARC|RETN|NLRP3,-4,DEGs
DisGeNET,35,C0037011,Shoulder Pain,,-5.5,21,9.8,30337,18,400,5,1.2,0.56,3552|3553|3557|3576|6364,IL1A|IL1B|IL1RN|CXCL8|CCL20,-4,DEGs
DisGeNET,35,C1533568,fertility disorders,,-5.5,21,9.8,30337,18,400,5,1.2,0.56,3552|3553|3576|3586|7099,IL1A|IL1B|CXCL8|IL10|TLR4,-4,DEGs
DisGeNET,35,C4087504,Peritoneal dissemination,,-5.5,5.4,6.6,30337,170,400,12,3,0.85,978|1084|3586|3678|4318|5328|5650|7852|9173|9839|23135|140885,CDA|CEACAM3|IL10|ITGA5|MMP9|PLAU|KLK7|CXCR4|IL1RL1|ZEB2|KDM6B|SIRPA,-4,DEGs
DisGeNET,35,C1384600,Systemic onset juvenile chronic arthritis,,-5.5,7.6,7.2,30337,90,400,9,2.2,0.74,3552|3553|3557|3586|4210|6279|6280|6283|114548,IL1A|IL1B|IL1RN|IL10|MEFV|S100A8|S100A9|S100A12|NLRP3,-3.9,DEGs
DisGeNET,35,C3714772,Recurrent fevers,,-5.5,11,8.1,30337,48,400,7,1.8,0.66,3552|3553|3557|4210|58484|91662|114548,IL1A|IL1B|IL1RN|MEFV|NLRC4|NLRP12|NLRP3,-3.9,DEGs
DisGeNET,35,C1275685,Avellino corneal dystrophy,,-5.5,6.6,6.9,30337,115,400,10,2.5,0.78,978|2353|2354|3552|3553|3586|6347|7099|9021|114548,CDA|FOS|FOSB|IL1A|IL1B|IL10|CCL2|TLR4|SOCS3|NLRP3,-3.9,DEGs
DisGeNET,35,C0149940,Sciatic Neuropathy,,-5.5,6.6,6.9,30337,115,400,10,2.5,0.78,3162|3383|3553|3586|3689|4318|5328|6347|7099|7133,HMOX1|ICAM1|IL1B|IL10|ITGB2|MMP9|PLAU|CCL2|TLR4|TNFRSF1B,-3.9,DEGs
DisGeNET,35,C0242852,Proliferative vitreoretinopathy,,-5.5,5.9,6.7,30337,142,400,11,2.8,0.82,133|1839|2353|3553|3576|3579|3586|3678|5806|6347|7133,ADM|HBEGF|FOS|IL1B|CXCL8|CXCR2|IL10|ITGA5|PTX3|CCL2|TNFRSF1B,-3.9,DEGs
DisGeNET,35,C0041318,"Tuberculosis, Meningeal",,-5.5,8.9,7.6,30337,68,400,8,2,0.7,240|820|3553|3576|3586|4318|6347|100049587,ALOX5|CAMP|IL1B|CXCL8|IL10|MMP9|CCL2|SIGLEC14,-3.9,DEGs
DisGeNET,35,C0035344,Retinopathy of Prematurity,,-5.5,4.9,6.4,30337,202,400,13,3.2,0.89,2321|3162|3383|3552|3553|3557|3576|4318|6280|6781|7133|54210|100132417,FLT1|HMOX1|ICAM1|IL1A|IL1B|IL1RN|CXCL8|MMP9|S100A9|STC1|TNFRSF1B|TREM1|FCGR1CP,-3.9,DEGs
Transcription Factor Targets,16,M11390,RACCACAR AML Q6,,-5.5,4.2,6.2,30337,268,400,15,3.8,0.95,969|1230|2012|2207|3142|4146|6347|7454|9595|9770|9839|55911|60675|117289|126014,CD69|CCR1|EMP1|FCER1G|HLX|MATN1|CCL2|WAS|CYTIP|RASSF2|ZEB2|APOBR|PROK2|TAGAP|OSCAR,-3.9,DEGs
DisGeNET,35,C0016053,Fibromyalgia,,-5.5,5.8,6.7,30337,143,400,11,2.8,0.82,3240|3290|3552|3553|3576|3586|4210|5743|6347|6531|114548,HP|HSD11B1|IL1A|IL1B|CXCL8|IL10|MEFV|PTGS2|CCL2|SLC6A3|NLRP3,-3.9,DEGs
DisGeNET,35,C0017205,Gaucher Disease,,-5.5,5.8,6.7,30337,143,400,11,2.8,0.82,728|820|929|1118|2215|6347|6696|7852|8972|10763|57817,C5AR1|CAMP|CD14|CHIT1|FCGR3B|CCL2|SPP1|CXCR4|MGAM|NES|HAMP,-3.9,DEGs
DisGeNET,35,C0011882,Diabetic Neuropathies,,-5.5,5.8,6.7,30337,143,400,11,2.8,0.82,1268|2180|3162|3553|3586|4311|4318|5270|5743|7056|7099,CNR1|ACSL1|HMOX1|IL1B|IL10|MME|MMP9|SERPINE2|PTGS2|THBD|TLR4,-3.9,DEGs
DisGeNET,35,C0860207,Drug-Induced Liver Disease,,-5.5,3.1,5.7,30337,537,400,22,5.5,1.1,101|383|1824|2180|2321|3162|3240|3274|3552|3553|3557|3576|3586|4318|5743|6279|6280|6347|6696|7850|84649|114548,ADAM8|ARG1|DSC2|ACSL1|FLT1|HMOX1|HP|HRH2|IL1A|IL1B|IL1RN|CXCL8|IL10|MMP9|PTGS2|S100A8|S100A9|CCL2|SPP1|IL1R2|DGAT2|NLRP3,-3.9,DEGs
DisGeNET,35,C4551683,Adrenal Gland Pheochromocytoma,,-5.5,3.5,5.8,30337,416,400,19,4.8,1.1,133|1268|2321|3552|3553|3854|4084|4318|5743|6283|6354|6531|6615|6696|7852|10603|25797|56729|122402,ADM|CNR1|FLT1|IL1A|IL1B|KRT6B|MXD1|MMP9|PTGS2|S100A12|CCL7|SLC6A3|SNAI1|SPP1|CXCR4|SH2B2|QPCT|RETN|TDRD9,-3.9,DEGs
Cell Type Signatures,7,M39113,AIZARANI LIVER C9 LSECS 1,,-5.5,4,6.1,30337,304,400,16,4,0.98,133|929|1901|2012|2321|3678|5138|6515|6781|7378|9021|9173|10894|22918|23135|85450,ADM|CD14|S1PR1|EMP1|FLT1|ITGA5|PDE2A|SLC2A3|STC1|UPP1|SOCS3|IL1RL1|LYVE1|CD93|KDM6B|ITPRIP,-3.9,DEGs
DisGeNET,35,C0017154,"Gastritis, Atrophic",,-5.5,4.9,6.4,30337,203,400,13,3.2,0.89,3552|3553|3557|3576|3586|4318|5265|5743|6279|6347|6696|7099|144568,IL1A|IL1B|IL1RN|CXCL8|IL10|MMP9|SERPINA1|PTGS2|S100A8|CCL2|SPP1|TLR4|A2ML1,-3.9,DEGs
DisGeNET,35,C0595989,Carcinoma of larynx,,-5.5,3.3,5.8,30337,456,400,20,5,1.1,929|2012|2321|2353|3553|3576|4317|4318|5743|6279|6364|6515|7099|7133|7852|8140|9839|27036|55824|109729169,CD14|EMP1|FLT1|FOS|IL1B|CXCL8|MMP8|MMP9|PTGS2|S100A8|CCL20|SLC2A3|TLR4|TNFRSF1B|CXCR4|SLC7A5|ZEB2|SIGLEC7|PAG1|LINC02154,-3.9,DEGs
DisGeNET,35,C0027814,"Neuritis, Autoimmune, Experimental",,-5.5,14,8.6,30337,32,400,6,1.5,0.61,929|3553|4318|5743|6696|7099,CD14|IL1B|MMP9|PTGS2|SPP1|TLR4,-3.9,DEGs
DisGeNET,35,C0156181,Peritoneal adhesion,,-5.5,14,8.6,30337,32,400,6,1.5,0.61,3383|3552|3553|3557|3678|4210,ICAM1|IL1A|IL1B|IL1RN|ITGA5|MEFV,-3.9,DEGs
Cell Type Signatures,7,M39116,AIZARANI LIVER C12 NK NKT CELLS 4,,-5.5,11,8,30337,49,400,7,1.8,0.66,241|969|3310|3936|5788|5880|8530,ALOX5AP|CD69|HSPA6|LCP1|PTPRC|RAC2|CST7,-3.9,DEGs
DisGeNET,35,C0013370,Amebic colitis,,-5.5,11,8,30337,49,400,7,1.8,0.66,3552|3553|3576|3579|6279|6280|6696,IL1A|IL1B|CXCL8|CXCR2|S100A8|S100A9|SPP1,-3.9,DEGs
DisGeNET,35,C0025303,Meningococcal Infections,,-5.5,8.8,7.5,30337,69,400,8,2,0.7,929|2212|3552|3553|3557|3586|6556|7099,CD14|FCGR2A|IL1A|IL1B|IL1RN|IL10|SLC11A1|TLR4,-3.9,DEGs
Cell Type Signatures,7,M39042,FAN EMBRYONIC CTX MICROGLIA 2,,-5.4,34,11,30337,9,400,4,1,0.5,2354|3553|8870|9308,FOSB|IL1B|IER3|CD83,-3.9,DEGs
DisGeNET,35,C0017178,Gastrointestinal Diseases,,-5.4,5.8,6.7,30337,144,400,11,2.8,0.82,1084|1268|3240|3274|3552|3553|3576|6279|6688|60675|134864,CEACAM3|CNR1|HP|HRH2|IL1A|IL1B|CXCL8|S100A8|SPI1|PROK2|TAAR1,-3.9,DEGs
DisGeNET,35,C0563625,Agnosia for Pain,,-5.4,4.8,6.3,30337,204,400,13,3.2,0.89,1268|2866|3552|3553|3557|3586|4311|4318|5743|6347|6354|7099|7454,CNR1|GPR42|IL1A|IL1B|IL1RN|IL10|MME|MMP9|PTGS2|CCL2|CCL7|TLR4|WAS,-3.9,DEGs
DisGeNET,35,C0026654,Moyamoya Disease,,-5.4,6.5,6.9,30337,117,400,10,2.5,0.78,3240|3553|3576|3586|4318|5265|6347|6374|7056|10335,HP|IL1B|CXCL8|IL10|MMP9|SERPINA1|CCL2|CXCL5|THBD|IRAG1,-3.9,DEGs
DisGeNET,35,C0024291,"Lymphohistiocytosis, Hemophagocytic",,-5.4,6.5,6.9,30337,117,400,10,2.5,0.78,3162|3552|3553|3576|3586|5788|6347|7056|58484|140885,HMOX1|IL1A|IL1B|CXCL8|IL10|PTPRC|CCL2|THBD|NLRC4|SIRPA,-3.9,DEGs
DisGeNET,35,C2931384,Moyamoya disease 1,,-5.4,7.4,7.1,30337,92,400,9,2.2,0.74,3240|3553|3576|3586|4318|5265|6347|6374|7056,HP|IL1B|CXCL8|IL10|MMP9|SERPINA1|CCL2|CXCL5|THBD,-3.9,DEGs
DisGeNET,35,C0001486,Adenovirus Infections,,-5.4,5.8,6.6,30337,145,400,11,2.8,0.82,929|3162|3383|3552|3553|3557|5743|7056|8685|23601|55824,CD14|HMOX1|ICAM1|IL1A|IL1B|IL1RN|PTGS2|THBD|MARCO|CLEC5A|PAG1,-3.9,DEGs
DisGeNET,35,C0751057,"Seizure, Febrile, Complex",,-5.4,20,9.6,30337,19,400,5,1.2,0.56,3553|3557|3576|3586|6324,IL1B|IL1RN|CXCL8|IL10|SCN1B,-3.9,DEGs
DisGeNET,35,C0015674,Chronic Fatigue Syndrome,,-5.4,6.4,6.8,30337,118,400,10,2.5,0.78,929|969|2219|2316|3552|3553|3586|5328|5743|114548,CD14|CD69|FCN1|FLNA|IL1A|IL1B|IL10|PLAU|PTGS2|NLRP3,-3.9,DEGs
DisGeNET,35,C0003868,"Arthritis, Gouty",,-5.4,4.8,6.3,30337,206,400,13,3.2,0.89,240|728|3552|3553|3576|4210|4318|5023|5806|5837|6696|7099|114548,ALOX5|C5AR1|IL1A|IL1B|CXCL8|MEFV|MMP9|P2RX1|PTX3|PYGM|SPP1|TLR4|NLRP3,-3.8,DEGs
DisGeNET,35,C0034065,Pulmonary Embolism,,-5.4,7.3,7.1,30337,93,400,9,2.2,0.74,1230|3240|3586|4210|4318|5328|6347|7056|7099,CCR1|HP|IL10|MEFV|MMP9|PLAU|CCL2|THBD|TLR4,-3.8,DEGs
DisGeNET,35,C0018995,Hemochromatosis,,-5.4,7.3,7.1,30337,93,400,9,2.2,0.74,654|3162|3240|3586|5265|6280|6347|7099|57817,BMP6|HMOX1|HP|IL10|SERPINA1|S100A9|CCL2|TLR4|HAMP,-3.8,DEGs
DisGeNET,35,C0023524,"Leukoencephalopathy, Progressive Multifocal",,-5.4,4.4,6.2,30337,239,400,14,3.5,0.92,366|820|929|3553|3576|4001|4084|4318|5328|5329|6347|6374|7056|23569,AQP9|CAMP|CD14|IL1B|CXCL8|LMNB1|MXD1|MMP9|PLAU|PLAUR|CCL2|CXCL5|THBD|PADI4,-3.8,DEGs
DisGeNET,35,C3539781,Progressive cGVHD,,-5.4,3.6,5.8,30337,383,400,18,4.5,1,978|2215|3552|3553|3557|3576|3586|4210|4317|4318|5008|5265|5653|5743|5788|6347|7538|652995,CDA|FCGR3B|IL1A|IL1B|IL1RN|CXCL8|IL10|MEFV|MMP8|MMP9|OSM|SERPINA1|KLK6|PTGS2|PTPRC|CCL2|ZFP36|UCA1,-3.8,DEGs
DisGeNET,35,C0677932,Progressive Neoplastic Disease,,-5.4,3.6,5.8,30337,383,400,18,4.5,1,978|2215|3552|3553|3557|3576|3586|4210|4317|4318|5008|5265|5653|5743|5788|6347|7538|652995,CDA|FCGR3B|IL1A|IL1B|IL1RN|CXCL8|IL10|MEFV|MMP8|MMP9|OSM|SERPINA1|KLK6|PTGS2|PTPRC|CCL2|ZFP36|UCA1,-3.8,DEGs
DisGeNET,35,C0740304,COPD exacerbation,,-5.4,14,8.5,30337,33,400,6,1.5,0.61,3586|4318|5265|27180|114548|100049587,IL10|MMP9|SERPINA1|SIGLEC9|NLRP3|SIGLEC14,-3.8,DEGs
DisGeNET,35,C0003869,"Arthritis, Infectious",,-5.4,14,8.5,30337,33,400,6,1.5,0.61,3553|3579|4210|7133|9051|54210,IL1B|CXCR2|MEFV|TNFRSF1B|PSTPIP1|TREM1,-3.8,DEGs
DisGeNET,35,C0010043,Corneal Ulcer,,-5.4,14,8.5,30337,33,400,6,1.5,0.61,3552|3553|3586|4318|5743|6280,IL1A|IL1B|IL10|MMP9|PTGS2|S100A9,-3.8,DEGs
DisGeNET,35,C1861303,"SYNOVITIS, GRANULOMATOUS, WITH UVEITIS AND CRANIAL NEUROPATHIES (disorder)",,-5.4,14,8.5,30337,33,400,6,1.5,0.61,3552|3553|6279|6283|91662|114548,IL1A|IL1B|S100A8|S100A12|NLRP12|NLRP3,-3.8,DEGs
DisGeNET,35,C0014057,Japanese Encephalitis,,-5.4,6.4,6.8,30337,119,400,10,2.5,0.78,1839|3383|3553|3586|3684|3687|6347|9021|23601|114548,HBEGF|ICAM1|IL1B|IL10|ITGAM|ITGAX|CCL2|SOCS3|CLEC5A|NLRP3,-3.8,DEGs
DisGeNET,35,C0080032,"Pleural Effusion, Malignant",,-5.4,6.4,6.8,30337,119,400,10,2.5,0.78,1084|3240|3553|3576|3586|4318|5328|5788|6347|51311,CEACAM3|HP|IL1B|CXCL8|IL10|MMP9|PLAU|PTPRC|CCL2|TLR8,-3.8,DEGs
Cell Type Signatures,7,M40239,DESCARTES FETAL LUNG MEGAKARYOCYTES,,-5.4,5.2,6.4,30337,176,400,12,3,0.85,654|2316|4354|4778|5023|5341|5473|6515|64407|80739|83706|146225,BMP6|FLNA|MPP1|NFE2|P2RX1|PLEK|PPBP|SLC2A3|RGS18|MPIG6B|FERMT3|CMTM2,-3.8,DEGs
DisGeNET,35,C0221013,"Mastocytosis, Systemic",,-5.4,7.3,7,30337,94,400,9,2.2,0.74,943|944|978|3162|5008|5788|6347|140885|338339,TNFRSF8|TNFSF8|CDA|HMOX1|OSM|PTPRC|CCL2|SIRPA|CLEC4D,-3.8,DEGs
DisGeNET,35,C0035436,Rheumatic Fever,,-5.4,7.3,7,30337,94,400,9,2.2,0.74,2212|2215|2219|3383|3553|3557|3586|4210|6926,FCGR2A|FCGR3B|FCN1|ICAM1|IL1B|IL1RN|IL10|MEFV|TBX3,-3.8,DEGs
DisGeNET,35,C0023470,Myeloid Leukemia,,-5.4,3.5,5.8,30337,385,400,18,4.5,1,133|943|2321|2353|2354|3383|3586|3684|3689|3718|5023|5743|6688|7133|8809|10335|27036|652995,ADM|TNFRSF8|FLT1|FOS|FOSB|ICAM1|IL10|ITGAM|ITGB2|JAK3|P2RX1|PTGS2|SPI1|TNFRSF1B|IL18R1|IRAG1|SIGLEC7|UCA1,-3.8,DEGs
DisGeNET,35,C0677659,Gastro-esophageal reflux disease with esophagitis,,-5.4,8.5,7.4,30337,71,400,8,2,0.7,3162|3274|3553|3557|3576|3577|3586|5743,HMOX1|HRH2|IL1B|IL1RN|CXCL8|CXCR1|IL10|PTGS2,-3.8,DEGs
DisGeNET,35,C0751523,Non-Convulsive Status Epilepticus,,-5.4,8.5,7.4,30337,71,400,8,2,0.7,383|1268|2353|3162|3557|5743|6347|6753,ARG1|CNR1|FOS|HMOX1|IL1RN|PTGS2|CCL2|SSTR3,-3.8,DEGs
DisGeNET,35,C0013390,Dysmenorrhea,,-5.4,8.5,7.4,30337,71,400,8,2,0.7,240|2353|3552|3557|3576|3624|4210|5743,ALOX5|FOS|IL1A|IL1RN|CXCL8|INHBA|MEFV|PTGS2,-3.8,DEGs
DisGeNET,35,C0034186,Pyelonephritis,,-5.4,8.5,7.4,30337,71,400,8,2,0.7,133|2012|3576|4318|5806|6347|7099|8809,ADM|EMP1|CXCL8|MMP9|PTX3|CCL2|TLR4|IL18R1,-3.8,DEGs
Cell Type Signatures,7,M39302,CUI DEVELOPING HEART C5 VALVAR CELL,,-5.4,4.7,6.3,30337,208,400,13,3.2,0.89,1959|1960|2353|3310|4327|5743|6615|7130|8870|9021|9510|54331|64651,EGR2|EGR3|FOS|HSPA6|MMP19|PTGS2|SNAI1|TNFAIP6|IER3|SOCS3|ADAMTS1|GNG2|CSRNP1,-3.8,DEGs
DisGeNET,35,C0032533,Polymyalgia Rheumatica,,-5.3,10,7.8,30337,51,400,7,1.8,0.66,3383|3552|3553|3557|3586|5806|7099,ICAM1|IL1A|IL1B|IL1RN|IL10|PTX3|TLR4,-3.8,DEGs
DisGeNET,35,C0025286,Meningioma,,-5.3,2.9,5.5,30337,634,400,24,6,1.2,240|969|1268|2207|2215|2321|2353|3553|3718|4311|4318|5328|5329|5653|5743|5788|5806|6347|6696|7099|7852|8809|10763|64386,ALOX5|CD69|CNR1|FCER1G|FCGR3B|FLT1|FOS|IL1B|JAK3|MME|MMP9|PLAU|PLAUR|KLK6|PTGS2|PTPRC|PTX3|CCL2|SPP1|TLR4|CXCR4|IL18R1|NES|MMP25,-3.8,DEGs
DisGeNET,35,C0021831,Intestinal Diseases,,-5.3,4.7,6.2,30337,209,400,13,3.2,0.89,943|2867|3162|3553|3586|4001|5023|5265|5743|6364|7099|7133|114548,TNFRSF8|FFAR2|HMOX1|IL1B|IL10|LMNB1|P2RX1|SERPINA1|PTGS2|CCL20|TLR4|TNFRSF1B|NLRP3,-3.8,DEGs
DisGeNET,35,C1708349,Hereditary Diffuse Gastric Cancer,,-5.3,3.9,5.9,30337,312,400,16,4,0.98,240|1839|3162|3553|3557|3576|3678|5265|5328|5743|5997|6615|6700|6926|7056|8530,ALOX5|HBEGF|HMOX1|IL1B|IL1RN|CXCL8|ITGA5|SERPINA1|PLAU|PTGS2|RGS2|SNAI1|SPRR2A|TBX3|THBD|CST7,-3.8,DEGs
DisGeNET,35,C0392525,Nephrolithiasis,,-5.3,4.4,6.1,30337,242,400,14,3.5,0.92,929|1178|2316|2866|3552|3553|3557|4318|6347|6696|7439|7462|114548|653361,CD14|CLC|FLNA|GPR42|IL1A|IL1B|IL1RN|MMP9|CCL2|SPP1|BEST1|LAT2|NLRP3|NCF1,-3.8,DEGs
DisGeNET,35,C0007114,Malignant neoplasm of skin,,-5.3,3.1,5.6,30337,507,400,21,5.2,1.1,2321|2353|2866|3290|3383|3552|3553|3586|4317|4318|4327|5653|5743|5788|6280|6615|7099|8843|11240|114548|200315,FLT1|FOS|GPR42|HSD11B1|ICAM1|IL1A|IL1B|IL10|MMP8|MMP9|MMP19|KLK6|PTGS2|PTPRC|S100A9|SNAI1|TLR4|HCAR3|PADI2|NLRP3|APOBEC3A,-3.8,DEGs
DisGeNET,35,C0149939,Obstructive nephropathy,,-5.3,7.2,7,30337,95,400,9,2.2,0.74,383|719|4318|5008|6279|6280|6347|6696|54210,ARG1|C3AR1|MMP9|OSM|S100A8|S100A9|CCL2|SPP1|TREM1,-3.8,DEGs
Cell Type Signatures,7,M39175,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-5.3,2.8,5.5,30337,680,400,25,6.2,1.2,1839|1903|2012|2316|3290|3624|3678|4318|5328|5329|5743|5791|6515|6615|6781|6926|7130|8870|9839|10581|10763|50486|55824|85450|170954,HBEGF|S1PR3|EMP1|FLNA|HSD11B1|INHBA|ITGA5|MMP9|PLAU|PLAUR|PTGS2|PTPRE|SLC2A3|SNAI1|STC1|TBX3|TNFAIP6|IER3|ZEB2|IFITM2|NES|G0S2|PAG1|ITPRIP|PPP1R18,-3.8,DEGs
DisGeNET,35,C0013371,Shigella Infections,,-5.3,6.3,6.7,30337,121,400,10,2.5,0.78,820|2012|3553|3576|3586|4050|5806|7099|58484|64581,CAMP|EMP1|IL1B|CXCL8|IL10|LTB|PTX3|TLR4|NLRC4|CLEC7A,-3.8,DEGs
DisGeNET,35,C0010692,Cystitis,,-5.3,5.6,6.5,30337,149,400,11,2.8,0.82,240|820|2012|3553|3586|5743|5806|6280|6347|7099|23135,ALOX5|CAMP|EMP1|IL1B|IL10|PTGS2|PTX3|S100A9|CCL2|TLR4|KDM6B,-3.8,DEGs
DisGeNET,35,C2939094,Skin sensitisation,,-5.3,13,8.4,30337,34,400,6,1.5,0.61,719|3162|3383|3552|3553|3576,C3AR1|HMOX1|ICAM1|IL1A|IL1B|CXCL8,-3.8,DEGs
DisGeNET,35,C1692886,"Arthritis, Bacterial",,-5.3,13,8.4,30337,34,400,6,1.5,0.61,3553|3579|4210|7133|9051|54210,IL1B|CXCR2|MEFV|TNFRSF1B|PSTPIP1|TREM1,-3.8,DEGs
DisGeNET,35,C4543948,Localized cutaneous leishmaniasis,,-5.3,19,9.3,30337,20,400,5,1.2,0.56,3576|3586|6347|6556|114548,CXCL8|IL10|CCL2|SLC11A1|NLRP3,-3.8,DEGs
DisGeNET,35,C1719494,"PERIODONTITIS, LOCALIZED AGGRESSIVE",,-5.3,19,9.3,30337,20,400,5,1.2,0.56,3552|3553|3576|3689|6347,IL1A|IL1B|CXCL8|ITGB2|CCL2,-3.8,DEGs
DisGeNET,35,C2937358,Cerebral Hemorrhage,,-5.3,6.2,6.7,30337,122,400,10,2.5,0.78,929|2321|3162|3557|4318|5328|5743|6696|7852|26353,CD14|FLT1|HMOX1|IL1RN|MMP9|PLAU|PTGS2|SPP1|CXCR4|HSPB8,-3.7,DEGs
DisGeNET,35,C0029866,Other ureteric obstruction,,-5.3,10,7.7,30337,52,400,7,1.8,0.66,133|383|3383|3553|7133|9510|10804,ADM|ARG1|ICAM1|IL1B|TNFRSF1B|ADAMTS1|GJB6,-3.7,DEGs
DisGeNET,35,C0085669,Acute leukemia,,-5.3,2.8,5.5,30337,639,400,24,6,1.2,133|722|838|929|943|978|1441|2321|3142|3162|3552|3553|3586|4084|4311|5788|6781|7099|7133|7454|7852|27036|55824|144568,ADM|C4BPA|CASP5|CD14|TNFRSF8|CDA|CSF3R|FLT1|HLX|HMOX1|IL1A|IL1B|IL10|MXD1|MME|PTPRC|STC1|TLR4|TNFRSF1B|WAS|CXCR4|SIGLEC7|PAG1|A2ML1,-3.7,DEGs
DisGeNET,35,C0002792,anaphylaxis,,-5.3,5.1,6.3,30337,180,400,12,3,0.85,2212|2215|3240|3383|3552|3553|3586|5743|6347|6354|9021|114548,FCGR2A|FCGR3B|HP|ICAM1|IL1A|IL1B|IL10|PTGS2|CCL2|CCL7|SOCS3|NLRP3,-3.7,DEGs
DisGeNET,35,C1535939,Pneumocystis jiroveci pneumonia,,-5.3,5.1,6.3,30337,180,400,12,3,0.85,943|2012|2321|2353|3553|3576|3586|4354|7852|26253|64581|114548,TNFRSF8|EMP1|FLT1|FOS|IL1B|CXCL8|IL10|MPP1|CXCR4|CLEC4E|CLEC7A|NLRP3,-3.7,DEGs
DisGeNET,35,C0037090,"Signs and Symptoms, Respiratory",,-5.3,8.3,7.2,30337,73,400,8,2,0.7,929|1084|3162|3576|3579|5265|6347|7099,CD14|CEACAM3|HMOX1|CXCL8|CXCR2|SERPINA1|CCL2|TLR4,-3.7,DEGs
DisGeNET,35,C0008497,Choriocarcinoma,,-5.3,3.3,5.7,30337,431,400,19,4.8,1.1,133|793|1230|2321|3162|3553|3576|4318|4973|6347|6515|6696|7852|8140|9839|10763|27284|56729|199713,ADM|CALB1|CCR1|FLT1|HMOX1|IL1B|CXCL8|MMP9|OLR1|CCL2|SLC2A3|SPP1|CXCR4|SLC7A5|ZEB2|NES|SULT1B1|RETN|NLRP7,-3.7,DEGs
DisGeNET,35,C0005967,Bone neoplasms,,-5.2,5.5,6.4,30337,151,400,11,2.8,0.82,2353|2354|3383|3553|3579|4318|5328|5743|6696|7852|25797,FOS|FOSB|ICAM1|IL1B|CXCR2|MMP9|PLAU|PTGS2|SPP1|CXCR4|QPCT,-3.7,DEGs
Cell Type Signatures,7,M39215,ZHENG CORD BLOOD C6 HSC MULTIPOTENT PROGENITOR,,-5.2,7,6.9,30337,97,400,9,2.2,0.74,5552|5788|6515|6696|7133|7852|9473|10135|64092,SRGN|PTPRC|SLC2A3|SPP1|TNFRSF1B|CXCR4|THEMIS2|NAMPT|SAMSN1,-3.7,DEGs
DisGeNET,35,C0037199,Sinusitis,,-5.2,7,6.9,30337,97,400,9,2.2,0.74,3552|3553|3576|4689|6354|7454|7852|338339|653361,IL1A|IL1B|CXCL8|NCF4|CCL7|WAS|CXCR4|CLEC4D|NCF1,-3.7,DEGs
COVID,200,COVID253,RNA_Wilk_CD14+Monocytes_patient-C4_Down,,-5.2,7,6.9,30337,97,400,9,2.2,0.74,1441|2219|2353|2354|5997|7133|7538|7940|55911,CSF3R|FCN1|FOS|FOSB|RGS2|TNFRSF1B|ZFP36|LST1|APOBR,-3.7,DEGs
DisGeNET,35,C0017668,Focal glomerulosclerosis,,-5.2,4,5.9,30337,281,400,15,3.8,0.95,719|3162|3240|3552|3553|3586|4318|5328|5788|6347|6696|7099|7852|10763|140885,C3AR1|HMOX1|HP|IL1A|IL1B|IL10|MMP9|PLAU|PTPRC|CCL2|SPP1|TLR4|CXCR4|NES|SIRPA,-3.7,DEGs
DisGeNET,35,C1291077,Abdominal bloating,,-5.2,30,11,30337,10,400,4,1,0.5,383|3552|3553|5743,ARG1|IL1A|IL1B|PTGS2,-3.7,DEGs
