Symbol	ICU_06	ICU_25	ICU_26	ICU_27	NON_07	NON_19	NON_20	NON_22	NON_23	NON_26	NON_28
MTF1	2355	1981	2429	4285	1570	1506	1179	2498	1903	1753	1175
TMCO2	12	18	12	12	2	0	0	6	2	2	0
ZNF322P1	6	0	0	0	0	0	0	4	0	0	0
SHISA6	338	12	8	46	128	53	35	442	27	37	262
TMEM201	156	132	112	150	154	302	126	282	162	184	185
NHLRC3	2895	1210	499	988	1761	1954	2508	4730	2733	943	3048
HMX2	0	0	0	0	0	0	0	0	0	0	0
SNTN	17295	5215	716	16678	25595	23045	32476	53240	42616	55504	33697
ZDHHC11	114	164	62	210	429	180	205	718	935	1070	1523
CALHM6	35	15	2	57	17	12	4	34	30	4	109
CNR2	18	2	10	4	0	0	0	2	0	0	0
LINC00910	481	845	72	197	208	217	210	449	926	348	451
SLX4	141	62	128	158	193	239	92	345	134	256	100
GLRA4	0	0	0	0	4	0	0	0	0	0	0
DPPA3P2	0	14	0	0	0	0	0	4	0	0	0
ENTPD8	215	43	34	210	175	238	163	177	134	1598	177
RPL14	14328	11922	8316	10326	16049	18383	6908	12013	16198	43772	14723
BEND4	12	4	0	0	0	0	0	0	0	0	0
RPSAP47	78	10	0	12	34	8	12	28	25	14	44
FAM78B	73	101	35	44	68	32	13	31	22	12	24
ZNF563	418	204	86	118	215	362	562	846	367	114	500
TMC3	65	22	2	12	32	136	109	353	64	34	82
RPL10AP2	30	63	2	14	89	45	39	28	38	145	35
POTEA	0	0	0	0	0	0	0	0	0	0	0
FBF1	431	172	46	422	795	415	487	1178	710	1477	484
KLRG2	14	4	2	6	6	9	4	24	12	4	6
ASTL	50	20	666	230	32	98	8	8	22	44	24
MSL1	7488	4021	6457	7944	4629	4023	2582	5985	3784	2445	2946
LRRK2	5416	978	3648	10411	377	989	279	692	404	120	273
BSX	0	0	0	0	0	0	2	2	0	0	0
GJB3	1349	3091	1962	2006	1200	1038	314	760	968	1683	682
INSYN2A	73	56	36	8	33	26	27	74	22	26	35
TRMT2B	602	352	352	548	630	577	413	552	475	1282	417
HACD4	2875	575	414	2094	2869	1510	2229	3649	3683	2284	2291
CFAP126	4501	1244	401	3907	8681	8755	5988	10906	12105	29725	6484
USP32P1	0	12	2	4	12	0	0	0	0	0	2
NYX	0	0	0	2	2	0	0	0	0	0	0
FAM120AOS	2705	1818	1557	1815	1874	2188	1713	2757	2511	2192	2418
UTS2B	2	0	6	2	4	4	5	8	6	2	16
C9orf152	1664	1074	501	1056	1350	1378	746	1468	1360	988	840
NOC2L	938	748	1111	1587	1237	2401	847	1633	1092	1591	925
MSANTD1	40	20	4	46	8	14	8	30	36	33	26
AADACL3	0	0	0	0	2	0	0	0	0	0	0
DHFRP1	0	4	0	8	0	0	0	0	0	0	0
NELFB	1444	897	935	2119	1361	1991	1136	1587	1863	2680	1531
SLC15A5	0	0	0	0	0	0	0	0	0	0	0
LIPI	0	0	0	0	0	0	0	10	0	0	4
LRRC66	38	32	2	28	58	81	96	132	108	32	61
ZNF292	3838	3193	2700	4353	1489	1951	2262	4408	1827	440	2652
HUS1B	2	34	2	10	0	4	0	2	4	0	4
KCTD21	459	526	385	313	254	210	160	288	307	656	143
SBSN	200	2224	3830	370	298	17	0	18	44	72	2
PROS2P	1	0	0	0	6	6	2	0	0	0	0
ADAT2	902	380	53	198	518	818	486	1352	507	121	609
KIR2DL4	2	8	128	6	4	4	6	4	14	0	16
SHLD2P3	14	5	0	8	6	14	6	21	0	0	26
MAGEB16	0	0	0	0	0	0	0	0	0	0	0
VHLL	0	0	0	0	0	0	0	0	0	0	0
DUSP21	0	0	0	0	0	0	0	0	0	0	0
ZNF567	323	240	62	198	264	104	193	402	224	114	344
NDUFA4	17145	12326	2772	6735	12147	16337	17963	25014	17288	19237	21150
ANKDD1B	2529	992	62	1202	945	1714	5820	6423	5385	1011	5946
ALKBH2	308	244	80	138	238	436	236	493	365	344	400
RNFT1	1434	652	230	636	1040	384	609	1794	716	303	961
RNF222	12	176	766	239	44	12	4	2	20	8	14
CGB5	0	0	0	0	0	0	0	0	0	0	0
RELN	56	516	539	30	42	13	10	59	8	14	12
FAM111B	138	284	178	190	175	292	20	76	56	16	58
APOD	2251	330	284	1353	906	3758	4031	4778	1708	5660	1134
H1-0	4627	4006	12700	12064	3273	4807	2251	3794	3842	3288	1669
GAGE2A	0	0	0	0	0	0	0	0	2	0	0
LITAF	50289	13734	76652	89790	9320	13473	4476	7725	9043	13992	5129
VSTM1	50	265	19	32	0	9	2	0	0	4	0
TMEM120A	1819	1139	1896	3528	983	1262	612	1270	1211	1055	574
ARID2	2892	1915	659	1619	1631	1991	1908	3862	1839	766	2292
RIMKLBP1	2	0	0	0	1	2	2	2	0	0	8
FAM25G	0	8	5	24	1	0	0	0	0	6	0
SF3B3	2126	1496	1126	1881	2163	2082	970	2148	1747	2948	1320
PRSS48	0	2	0	0	3	1	0	5	8	0	0
IL1RAPL2	0	0	2	0	0	0	0	1	0	0	0
BLOC1S3	274	203	600	316	283	431	196	415	354	544	288
SP6	142	456	236	110	80	78	18	68	74	34	90
ANKRD34B	75	63	0	73	26	2	3	13	6	0	0
PLAC9	25	4	20	33	10	10	5	18	23	29	25
FAM47B	0	0	0	0	0	0	0	0	0	0	0
NKAPL	130	68	50	60	134	24	166	234	168	320	136
UBE2Q2P1	2	7	0	15	6	4	2	6	0	3	6
FSCB	0	0	2	0	0	0	0	0	0	0	0
CLDN4	10710	13654	10745	9411	10511	7045	3659	7678	14444	12612	4809
ZNF573	74	24	24	24	58	38	53	69	53	33	61
RPL32P36	0	0	0	0	0	0	0	0	0	0	0
ABCA15P	8	10	16	12	8	11	2	6	0	2	6
GRAPL	0	0	0	0	0	0	0	2	0	0	0
FAM47E	2205	490	78	1287	1884	3553	4184	8942	3972	3731	4035
JPT1	5140	5519	4203	6844	4438	3648	1496	3299	5068	11171	1772
ZNF527	278	207	44	144	276	172	232	395	210	186	244
TNRC18P3	0	0	0	0	0	0	0	0	0	0	0
ZAR1L	2	2	0	2	0	2	0	0	6	0	0
KRTAP10-12	0	0	0	0	0	0	0	0	0	0	0
S100A13	3903	2300	687	1951	2459	4899	3192	5484	4466	6822	2779
ZNF33A	3924	2434	834	2400	3200	3983	3682	6346	4702	2380	3799
OR14I1	0	0	0	0	0	0	0	0	0	0	0
KRT77	2	0	2	0	0	0	0	0	0	0	0
PCDH18	30	2	2	12	16	0	2	2	16	0	16
DCAF8L2	0	0	0	0	0	0	0	0	0	0	0
ZNF600	1753	2053	345	722	1756	1151	1446	2885	1780	505	2177
BTBD8	749	107	32	286	501	273	453	970	644	152	540
LINC00994	6	0	0	2	0	4	0	2	0	9	5
DPY19L2P1	134	56	4	14	92	56	83	704	60	89	61
MAOA	6655	4679	2553	2838	5089	3043	2763	6142	2778	2294	1877
PAX8-AS1	2942	1718	1276	821	328	29	842	1766	2743	345	113
C15orf61	222	140	38	87	177	130	198	354	201	257	219
NUGGC	11	10	3	8	32	2	15	8	22	15	4
LINC00943	4	4	0	0	0	0	0	0	17	0	0
TSPYL1	8834	4823	1452	4145	5522	3358	6263	12682	6497	4607	5956
SPANXN3	0	0	0	0	0	0	0	0	0	0	0
TRIM64B	0	0	0	0	0	0	0	2	0	0	0
PNRC2	7654	7865	5387	3731	4575	2845	4297	7704	6094	2849	5326
DRICH1	134	35	6	63	181	137	49	118	140	122	16
LINC01164	0	0	0	0	0	0	0	0	0	0	0
GJB5	1872	1720	612	1520	1402	1223	825	1177	1775	1181	1405
FHIT	238	31	16	104	181	364	61	183	377	351	129
ALKAL2	2	22	0	0	7	2	0	16	0	6	6
ANKRD62P1-PARP4P3	0	2	0	0	0	1	0	0	0	0	0
ZKSCAN3	230	48	23	84	252	213	197	400	281	192	225
FOXR2	0	0	4	0	0	0	0	0	0	0	0
RRP7A	1147	929	545	803	988	1669	934	1924	1356	5895	1594
LIN54	736	804	858	897	332	490	674	1147	573	324	414
FAM53B	1408	725	516	1207	1771	1601	1066	2215	1913	2426	1700
FAM180A	9	126	367	74	8	0	0	6	8	6	4
BNIP5	8	6	2	22	6	4	2	6	6	0	0
SPANXN4	0	0	0	0	0	0	0	0	0	0	0
SLC25A51P4	0	2	6	0	18	0	0	0	4	0	0
S100A14	8221	22112	19060	15374	4642	11891	3747	8603	8451	14284	3897
KAZN	1241	997	1128	1557	1259	1105	1108	2303	1638	1226	1483
SLC35E2B	2882	875	793	1575	1128	844	786	1649	1689	829	851
RPS2P46	220	509	58	206	340	290	200	138	391	484	349
FAM90A27P	0	0	0	0	0	0	0	0	0	0	0
TOGARAM2	2465	359	462	4478	5635	2180	3208	10537	7391	7330	5435
SPATA31D4	0	0	0	0	0	2	0	0	0	0	0
NEMP2	335	371	42	181	287	215	261	519	338	242	428
ALG1L1P	237	161	20	132	647	723	213	1007	782	761	254
KIAA0408	0	0	0	0	0	0	0	0	4	0	0
GSPT2	684	146	34	182	496	296	336	544	558	316	380
TBC1D28	0	0	0	0	0	0	0	0	0	0	0
C8orf76	1416	1062	307	646	966	1136	1284	2309	1752	1387	901
CXCL17	30746	17257	8361	16774	34137	26353	9617	14543	22412	43721	17305
OR7E12P	0	8	0	0	6	0	0	0	0	2	0
OTUD6A	0	2	0	0	0	0	0	2	0	0	0
HMGB1	21739	12770	5504	13101	13259	12887	16520	35533	16743	10066	19988
MMP23B	0	0	0	1	2	3	0	0	0	4	0
SH2D5	24	130	16	41	17	0	0	22	4	2	8
SPATA41	96	39	32	45	104	74	38	90	66	84	54
ZFP92	12	4	34	36	12	2	10	0	14	8	4
USP32P3	64	57	0	58	38	10	10	64	24	14	14
NCR1	86	141	123	143	16	10	6	5	8	5	0
RASSF10	277	206	40	248	278	108	186	435	430	265	742
GJB4	266	334	167	408	227	183	182	244	370	263	240
RNU1-75P	0	0	1	0	2	0	0	0	0	13	0
MIR494	0	0	0	0	0	0	0	0	0	0	0
RNU1-15P	0	0	0	0	0	0	0	0	0	0	0
OR2L13	0	0	0	0	0	0	0	0	0	0	0
BLOC1S2	3541	3096	1749	2681	1858	2388	2349	4312	2365	1703	2906
SYCP2	1013	501	148	337	905	725	645	1312	843	103	857
ZNF724	16	6	8	12	1	9	3	14	10	11	10
IL1RAP	4665	2659	4096	11648	1324	1004	667	1227	641	226	1713
SMIM7P1	0	0	0	0	0	0	0	0	0	0	0
PTPRT	1017	98	24	724	1009	532	312	895	1712	2289	470
MYBPC1	6	85	2	8	26	20	75	179	4	6	6
PAX5	69	2	6	14	14	0	4	8	16	6	2
SPAG16-DT	69	7	2	23	84	38	46	171	183	101	52
OR5K4	0	0	0	0	0	0	0	0	0	0	0
OR6M1	0	0	0	0	0	0	0	0	0	0	0
SPOCK3	112	0	0	56	146	14	6	40	34	12	76
ZNF676	0	2	12	0	3	0	0	9	0	0	10
ZNF699	162	120	68	102	133	84	87	185	47	42	118
IFITM3P3	6	8	0	6	10	2	0	6	2	9	1
ADAM5	0	14	6	0	2	0	0	0	0	0	4
TDRD7	2280	1468	623	1704	1261	1250	1350	3343	2128	1174	2776
CFAP119	97	25	21	250	178	467	474	646	276	311	499
OR8A1	0	8	0	0	4	0	0	1	4	2	2
MATCAP1	604	179	155	548	546	579	192	599	356	340	373
HLA-DRB1	23470	1381	3527	15862	4014	15513	8167	18840	49687	11209	3664
VN1R2	0	8	0	0	0	0	1	6	0	0	0
MYT1	10	4	0	4	8	2	10	4	4	10	6
SERPINA3	81	232	63	75	103	74	28	28	0	0	12
AKR1C3	11087	7414	1799	2446	6143	6908	5671	13719	7695	3463	8861
SPATS2L	3214	3371	1517	2532	3339	2852	3121	6911	5511	4701	5759
OR11H13P	0	0	0	0	0	0	0	0	0	0	0
ZNF250	384	303	168	709	274	143	93	274	247	186	211
WDSUB1	958	448	170	523	942	513	814	1830	775	542	960
ZNF79	180	215	158	105	192	154	117	276	278	214	132
S100A4	34726	25232	22690	19697	5483	30754	9839	10532	8282	20877	2843
PLEKHG4	151	81	36	193	115	162	61	257	78	58	77
KRTAP4-3	0	0	0	0	0	0	0	0	0	0	0
FAT4	107	76	14	10	73	26	34	82	26	2	150
LINC03042	4	0	0	0	0	6	0	4	0	2	5
COLCA1	3880	925	137	1165	2880	4709	3574	5289	4417	1048	5454
KIF19	1175	278	68	2470	2452	3965	2681	5667	4598	6781	2450
OR6K2	0	0	0	0	0	0	0	0	0	0	0
ZNF681	762	463	82	192	347	260	402	1444	458	211	646
ACADSB	1979	1134	290	922	945	1579	2114	3639	1348	562	2191
STK40	2089	1533	8261	9312	1368	1774	986	2067	1813	5613	1156
RPS2P4	2	16	0	0	4	6	2	0	2	6	8
OR10J1	0	0	0	0	0	0	0	0	0	0	0
TMEM63A	1689	862	762	2243	1660	1167	755	2075	2175	2221	1033
CTSE	10	14	2	6	0	0	2	2	2	0	0
SEMA4A	1445	1088	2206	2424	724	2246	402	895	604	899	587
HRCT1	8	8	0	22	0	24	18	36	6	4	12
MPHOSPH8	2753	1060	837	1622	2115	1309	1375	2504	2193	1352	1697
RNF216P1	242	218	70	234	280	421	250	425	339	457	270
EEF1A1P5	818	540	629	632	889	547	496	496	510	725	999
GREB1	8	20	4	4	19	4	10	14	1	8	9
SIRPB2	394	44	556	879	20	103	2	17	24	31	2
ZNF766	862	515	568	517	892	574	655	1163	1076	598	1005
RYR1	411	208	120	247	292	508	120	320	214	154	234
SRGAP3	1828	704	291	999	2189	2449	1730	4138	2505	2011	1686
KRTAP5-3	0	0	0	0	0	0	0	0	0	0	0
FAM217B	1619	970	293	972	953	899	1289	2039	1292	694	1096
SULT1C3	0	0	2	0	0	0	4	6	0	0	0
TUBB	6651	6648	4515	6534	6422	6279	2323	5164	4954	5771	4526
LCOR	5486	3382	1672	3271	4019	2741	3208	6958	3177	2242	3601
SUPT5H	2553	1988	4216	4481	2395	3440	1555	3069	3218	5685	1792
XPNPEP3	2039	891	258	1097	2386	1671	2207	4183	2491	2320	2155
OR2T2	0	0	0	0	0	0	0	0	0	0	0
OR2C3	4	10	0	0	12	2	0	0	4	0	0
LINC00615	0	26	0	0	0	0	10	5	0	0	2
ZNF107	1575	1096	475	1613	484	311	397	1126	618	193	550
OR10S1	0	0	0	0	0	0	0	0	0	0	0
SFTA2	9	21	218	244	12	24	8	15	12	46	25
PPIA	30845	30100	14114	22146	26542	25104	12673	29418	28223	34780	22654
ZNF471	490	148	34	245	670	86	150	572	452	288	404
OR10J3	0	0	0	0	0	0	0	0	0	0	0
ZNF836	607	434	73	267	617	254	326	569	673	230	517
ZNF493	2308	712	446	1084	832	526	1014	2527	1156	340	1090
LINC00523	0	0	0	0	0	0	0	0	0	0	0
GTF2IRD2	578	322	107	360	383	534	391	758	606	610	477
GRM7	632	218	7	681	823	965	1255	3059	2848	570	1862
SUPT3H	447	113	63	209	294	268	159	386	372	333	301
BECN2	0	0	0	0	0	0	0	0	0	0	0
NIF3L1	1851	938	415	932	1268	1219	1106	2435	1610	874	1703
GARS1-DT	1337	720	753	1256	1224	1278	786	2024	1666	688	1019
ATP2A1	90	58	41	109	47	199	110	179	126	69	95
HLA-DRB9	9	0	3	2	0	2	3	8	16	1	0
GUSBP15	3	0	6	0	0	3	0	4	0	0	0
IARS1	3761	2275	1284	2491	2930	4775	2992	6814	4016	3187	3944
MFSD14CP	1415	665	322	606	1217	1135	917	1836	1607	831	1000
POM121	283	158	550	527	178	277	119	252	138	144	139
ZBTB44	5482	2538	1041	2174	4065	2088	3222	5293	3246	1645	3749
GIMAP5	0	0	6	20	2	2	0	0	4	0	6
STK31	166	372	33	109	146	604	718	2148	443	60	703
CGB7	22	4	0	17	28	13	14	33	12	14	26
NLGN3	94	58	219	200	46	167	66	132	58	22	46
OR8D1	0	0	0	0	0	0	0	0	0	0	0
ADH7	17692	4600	1684	3033	5458	5725	12493	24836	14122	2282	25174
ZKSCAN7	385	132	26	98	275	96	160	322	244	191	260
ZNF729	0	0	0	0	0	0	0	0	0	0	0
CD55	51181	36781	39653	47939	18989	15347	11899	21838	11222	29434	9516
CPNE4	5	18	12	26	8	12	61	46	4	13	2
ZNF565	325	168	84	164	194	128	208	458	257	97	236
NTNG2	299	83	398	745	40	127	16	30	20	14	36
ELAVL3	0	50	34	4	8	0	2	6	0	4	4
WDR5	1095	938	538	999	987	1458	614	1328	1101	2003	855
PRSS29P	0	0	0	0	0	2	2	2	0	0	0
LONP1	2202	1036	1565	2710	1793	2477	1743	2598	2462	3990	2637
C9orf163	90	34	2	24	104	92	126	248	340	134	130
TRRAP	1379	835	615	1128	1246	1756	1042	1975	1429	1169	1459
NUDT11	34	72	0	26	14	6	10	18	10	2	60
SRGAP2B	80	102	4	68	74	93	110	230	70	44	124
FUT4	325	307	250	362	235	447	337	537	225	309	404
ASB13	918	371	330	623	752	1284	774	1456	1278	1144	1026
SLC35F1	2	8	0	2	12	0	0	0	6	0	2
ZNF34	196	202	102	175	156	191	108	187	144	72	148
ZNF781	188	10	0	37	86	14	198	275	199	26	152
OR4Q2	0	0	0	0	0	0	0	0	0	0	0
ZNF140	51	10	51	88	18	28	14	60	57	23	31
INCA1	54	7	60	61	45	83	19	64	61	94	38
ZNF774	146	31	44	66	80	87	66	109	66	67	118
PTPN1	1453	1157	1785	3567	981	1488	677	1491	968	1384	853
OR10D1P	2	0	0	0	0	0	0	3	6	0	2
EVL	1142	494	227	1082	1112	1641	786	1926	1592	1635	1033
SPANXD	0	0	0	0	0	0	0	0	0	0	0
THEM5	29	19	24	26	95	32	26	66	69	134	28
NOXO1	0	0	0	0	0	0	0	0	0	2	0
EPHB4	1238	1014	656	1012	1566	1109	238	755	756	697	752
PRTN3	2	12	9	10	0	0	0	0	0	0	0
ZNF765	385	372	181	228	381	163	307	548	313	250	311
ZNF124	332	285	95	227	245	139	122	265	217	81	217
XRCC6	6959	4682	5008	7075	5778	8823	3646	6799	7392	12201	5108
S100A5	50	36	44	41	14	168	53	103	40	127	39
C20orf204	20	18	9	30	18	32	12	32	8	14	26
PPP1R26	542	310	309	546	615	762	600	1052	898	763	672
NBPF4	4	0	0	0	2	0	0	0	0	0	0
TSC22D2	1920	1895	2457	2421	1110	504	965	1770	1012	508	1279
CRYBA4	0	0	0	0	0	4	2	0	2	0	2
ASMT	20	22	7	14	12	55	8	23	6	2	28
NPIPB15	1038	631	539	1291	1	4049	934	3402	638	895	623
ZNF569	428	194	50	190	417	194	357	845	440	288	542
ARMCX4	903	300	61	640	694	281	642	1230	829	236	645
YRDC	511	813	478	572	392	428	264	644	385	622	419
ZNF777	142	82	226	243	178	228	106	164	138	400	144
PIK3R4	1486	809	587	936	894	1277	1282	1698	971	323	1533
ZNF775	60	40	56	90	68	113	80	91	123	324	84
ZNF605	1038	582	144	424	970	662	726	1331	896	327	657
TRAPPC2	1070	448	233	556	1003	754	396	1411	799	788	562
RFX8	12	10	115	122	38	51	18	32	6	40	20
MYL6B	786	389	127	502	643	779	365	666	589	1290	786
ZNF799	712	431	79	276	600	350	780	1134	714	204	564
FGF16	4	4	0	0	4	0	0	2	0	0	0
SIAH1	1147	997	363	711	649	610	855	1661	732	542	906
GK2	0	0	0	0	0	0	0	0	0	0	0
C20orf96	981	233	104	1664	1309	2492	1098	2974	3540	5756	1688
ESRRG	634	231	54	287	481	339	527	1204	632	262	669
IPO4	40	34	1	41	30	94	55	117	95	139	69
NCOR2	1444	966	2376	3417	1710	1811	1033	1881	1662	2354	1212
SULT1A1	2464	614	726	1019	767	3306	1883	2411	3077	2410	1870
ARL9	65	113	2	43	103	133	101	195	154	136	135
PRPF40A	8414	6475	2767	5459	4325	4714	6552	12765	5373	2435	7264
GDAP2	1612	1002	536	1034	963	639	888	1511	1046	663	866
TCEAL3	563	284	222	624	710	1203	1070	1352	1132	2060	818
ANAPC7	3505	2633	795	1692	2943	4477	2457	5632	4198	2975	2726
TPK1	430	295	378	464	325	286	174	251	195	174	186
SLC6A9	559	476	425	752	490	399	226	573	575	1153	457
AFAP1	112	108	35	57	147	81	72	128	159	126	93
NACA	22893	20183	10690	11723	20356	22581	13622	22443	23085	35267	22118
OR9K1P	0	2	0	0	0	0	0	0	0	0	0
MYO18A	384	256	1015	757	167	353	147	284	242	100	201
OR2T3	0	0	0	0	0	0	0	0	0	0	0
SPTSSB	748	326	12	258	555	248	333	1186	1256	348	868
BORCS6	297	169	90	258	234	310	217	277	377	521	223
MAN2A2	1598	632	3852	4738	530	1069	665	966	421	207	493
MME	2381	123	3070	6501	81	770	51	97	73	64	31
FAM72A	10	8	18	30	26	29	11	23	17	19	30
CCDC196	2	6	0	0	2	6	0	11	0	0	7
CACNA1H	3	0	0	4	3	0	8	207	2	53	137
SULF2	4157	1574	3830	2958	2715	1805	1459	2675	1872	918	3823
BLOC1S6P1	0	0	0	0	0	0	0	0	0	0	0
HBG2	0	0	1	0	0	0	0	1	0	0	1
LAMA2	121	122	63	148	69	457	296	587	383	67	465
PFN3	0	0	0	0	0	0	0	0	0	0	0
PLXNB2	7976	5545	6418	16349	9638	13013	6284	13639	13613	12667	8303
OR5AC2	0	0	0	0	0	0	0	0	0	0	0
AJAP1	459	333	72	178	118	579	439	334	120	46	518
XRCC2	43	171	30	46	46	38	67	138	72	29	29
MYO6	9571	7946	5461	6976	5720	5405	6181	12192	7234	2712	7198
MRTFA	970	701	1054	1447	641	1010	493	1001	720	916	436
MBD3L2B	0	0	0	0	0	0	0	0	0	0	0
HDAC2	6568	4615	2576	3500	4782	2976	3707	6971	4707	2566	4729
ANKRD20A19P	22	4	6	18	4	631	85	190	26	38	158
ZNF782	351	222	82	123	206	167	199	457	298	120	251
SLC22A25	0	0	0	0	0	0	0	0	0	0	0
POTEF	16	8	6	23	10	7	0	6	4	10	0
ZNF846	566	331	258	427	297	626	554	1204	520	471	500
MMP1	8979	2660	10761	9574	1739	1162	608	2184	236	446	423
ADH1B	141	44	1	17	109	80	166	72	31	17	67
UGT2B15	4	6	12	0	19	0	3	14	4	2	2
TCF4	2757	1082	388	1180	2580	1210	1581	3122	2124	787	2931
WNK3	144	35	1	31	147	8	23	120	64	31	60
LUADT1	0	0	0	0	0	0	0	2	0	0	0
SDHAF3	1212	570	207	877	459	512	728	1248	553	420	901
HRH1	467	791	431	294	254	42	37	54	72	60	28
RABL6	2114	1578	1330	3264	3244	4286	2312	3844	3274	10317	2327
ZNF136	530	194	206	348	427	244	331	824	324	195	490
ZKSCAN5	1136	571	343	501	906	660	556	1007	965	511	794
ZNF502	1020	362	124	309	794	423	565	1209	853	253	892
TRAPPC4	2874	1122	870	1893	2167	2364	1595	3076	2905	2972	2062
IFT70B	1511	571	105	1025	3013	1131	1271	3241	2403	2128	2249
SLC30A10	8	12	4	0	28	2	0	4	0	0	2
TECPR2	1462	492	3130	6003	465	844	329	760	432	742	392
TLR7	182	50	64	80	72	66	74	156	197	44	60
FAM180B	0	0	4	0	0	2	0	6	0	0	0
LINC00173	51	32	74	101	62	26	8	34	30	6	18
ZFP62	1762	988	892	677	1588	878	1211	1839	1947	964	1298
ERI2	1444	807	468	736	1080	593	803	1695	971	391	750
TOMM7	11931	6663	1836	5944	10970	11934	8350	11195	14086	19026	12423
HSH2D	1130	770	1710	2387	261	1213	499	1569	777	771	1821
TRPV1	537	427	132	331	696	767	571	1222	703	497	572
ZNF33B	2394	1445	302	1394	2460	1821	1943	3526	3151	1807	2194
PDXDC2P-NPIPB14P	271	172	223	309	142	738	262	579	127	281	218
ZNF512B	385	155	285	409	388	472	211	364	261	232	346
AMZ2	4541	2168	950	2608	4320	4239	5176	7587	5462	5456	4515
ZNF431	1367	1799	924	1661	844	460	481	1434	595	394	587
ALKAL1	8	59	0	4	8	8	6	24	20	34	12
NF1	6795	2354	1225	3645	8739	5225	5320	8881	7261	6191	4941
VKORC1L1	1474	1068	500	996	1129	850	944	2003	1233	1088	1133
ZNF418	144	64	22	30	132	193	99	244	198	142	191
DAPK1	3079	2773	1636	1769	1166	2661	3324	6711	2144	733	2154
LCE1B	0	0	0	0	0	4	0	0	0	0	0
HLA-DQA1	2949	183	222	3100	476	2615	489	568	13801	1342	391
COL27A1	272	578	55	287	304	77	30	120	94	66	64
LINC01560	55	61	30	27	79	37	46	86	55	55	45
GM2A	4513	5232	4429	4040	5684	2711	1870	4090	3602	1196	2720
H2AC13	1	2	4	10	0	2	1	0	0	10	0
CLPSL2	0	0	0	0	4	0	0	0	0	0	0
S100A2	29514	91374	20419	37542	27478	7610	1971	18564	10482	7550	6726
SNHG17	585	700	326	881	517	862	408	969	784	610	644
ZNF700	1297	728	433	643	646	958	784	1390	694	80	1080
LINC02991	0	0	0	0	0	0	0	0	0	0	0
POU3F4	0	8	0	0	0	0	0	0	0	0	0
OR14A16	0	0	0	0	0	0	0	0	0	0	0
CD47	8470	6108	2400	6619	6259	4933	5256	9372	8764	2927	7295
OR52K1	8	4	0	4	0	0	2	0	0	0	0
TLE1	2752	2884	754	1813	2085	1475	1585	3333	2340	2916	929
MAML3	488	267	424	665	293	314	310	499	302	214	401
H2AC11	58	49	28	117	79	26	46	119	39	140	8
STRN3	2263	2121	586	1576	974	767	1236	2879	1008	725	1335
ZNF239	160	62	2	94	96	60	26	72	113	14	176
NPIPB10P	2	5	3	2	0	18	12	10	6	1	2
SPINK14	13	0	0	0	7	9	2	3	6	2	3
SPRR2B	78	309	706	238	502	31	3	5	10	243	1
CTBP1-DT	290	201	147	257	242	366	318	565	272	391	317
CHRNG	0	0	0	0	0	0	1	0	2	0	4
ZSCAN16	903	694	230	356	468	688	873	1315	911	370	764
MVB12B	447	118	139	375	430	603	363	667	603	514	622
ILRUN	4955	3845	6601	6324	3951	4962	2911	4916	4774	5189	3037
OR11G2	0	26	0	2	10	0	0	0	0	0	0
POTEI	0	2	0	13	2	3	3	14	0	2	0
ADA	206	175	440	452	96	144	52	131	148	106	202
ARID5A	3144	1486	7123	8195	432	1430	252	489	656	1012	516
PATE2	0	0	0	0	1	4	6	4	4	11	3
PPTC7	2262	1960	1822	2778	1377	1665	1986	3566	1202	747	2311
KRT39	209	8	7	6	42	83	10	83	34	34	76
TOMM20L	16	13	6	10	9	24	19	20	10	25	14
RGPD4	86	26	5	113	47	128	167	294	26	49	43
NHLRC2	3251	1469	379	1425	2205	1289	2328	4664	2444	981	2674
H2AC7	0	0	5	9	0	4	2	3	0	0	0
ZFP28	549	176	36	160	484	142	174	414	400	136	486
CRACDL	3813	1567	253	2477	5499	4536	5718	9748	8965	5860	5513
ZNG1C	542	266	98	178	307	289	292	644	470	164	375
SCN8A	113	79	46	7	97	28	50	193	73	32	56
LAMB3	4495	6916	13867	13921	4877	2210	825	1910	1290	2038	1446
H2BC26	147	43	62	186	241	61	170	257	247	513	204
SPMIP10	10	10	0	0	0	0	0	4	0	0	0
KPNA5	1575	925	84	745	912	717	1777	2948	1736	393	2166
ANKRD36B	214	178	51	169	111	317	239	303	319	101	258
ARHGEF12	5273	3655	2646	2947	3925	3038	2774	5357	3221	2014	4059
HCAR1	78	22	148	189	98	4	30	22	81	42	10
ZNF252P	1560	717	254	899	1369	940	991	1520	1320	933	1292
PDLIM7	1673	1254	6774	5504	554	707	138	299	289	679	209
FLNA	4315	4516	17792	21408	2707	841	140	446	776	438	1556
TMEM26	52	26	36	10	6	72	28	62	34	4	20
RPS26P11	0	4	0	5	4	0	0	6	0	0	2
SRGAP1	305	518	501	558	290	591	231	545	315	712	290
FAM3C	3873	3924	719	2909	2143	1415	2918	5449	2368	1332	2658
NOP9	436	200	341	432	331	423	197	442	350	455	324
OR2T4	0	0	0	0	0	0	0	0	0	0	0
ZNF705A	36	0	28	59	2	2	2	4	4	0	0
SLC39A10	1366	586	92	664	911	425	829	1843	682	270	849
SCOC-AS1	272	76	38	87	206	190	291	350	435	252	224
CASP4	12403	6784	13474	23182	5602	9506	2905	5915	8451	4986	5520
