Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0013080,Down Syndrome,,-3.5,2.3,4.1,30337,765,380,22,5.8,1.2,1059|1312|1434|1788|2022|2034|3559|3689|4155|4772|4773|4774|4782|4784|5293|6573|7078|7161|57007|63976|64506|342977,CENPB|COMT|CSE1L|DNMT3A|ENG|EPAS1|IL2RA|ITGB2|MBP|NFATC1|NFATC2|NFIA|NFIC|NFIX|PIK3CD|SLC19A1|TIMP3|TP73|ACKR3|PRDM16|CPEB1|NANOS3,-1.1,MyList
DisGeNET,35,C3273254,Arterionephrosclerosis,,-3.5,22,7.8,30337,11,380,3,0.79,0.45,4774|4782|4784,NFIA|NFIC|NFIX,-1.1,MyList
DisGeNET,35,C0175704,LEOPARD Syndrome,,-3.5,8.5,5.8,30337,47,380,5,1.3,0.58,1969|2395|5293|5595|5605,EPHA2|FXN|PIK3CD|MAPK3|MAP2K2,-1.1,MyList
DisGeNET,35,C0150055,Chronic pain,,-3.5,3.9,4.6,30337,207,380,10,2.6,0.82,1269|1312|1788|5023|5293|5578|5581|9536|11332|23396,CNR2|COMT|DNMT3A|P2RX1|PIK3CD|PRKCA|PRKCE|PTGES|ACOT7|PIP5K1C,-1.1,MyList
COVID,200,COVID009,RNA_Blanco-Melo_A549-ACE2_Down,,-3.5,3.9,4.6,30337,207,380,10,2.6,0.82,115|832|2052|2817|3339|5799|6595|9524|23499|79026,ADCY9|CAPZB|EPHX1|GPC1|HSPG2|PTPRN2|SMARCA2|TECR|MACF1|AHNAK,-1.1,MyList
DisGeNET,35,C0220633,Uveal melanoma,,-3.5,3,4.3,30337,375,380,14,3.7,0.97,3090|3315|3339|3689|5133|5293|5395|5578|5595|7078|7161|11156|57007|113146,HIC1|HSPB1|HSPG2|ITGB2|PDCD1|PIK3CD|PMS2|PRKCA|MAPK3|TIMP3|TP73|PTP4A3|ACKR3|AHNAK2,-1.1,MyList
DisGeNET,35,C4086152,Childhood Astrocytoma,,-3.5,2.5,4.1,30337,615,380,19,5,1.1,105|240|1269|2314|2956|3665|4155|4774|5209|5293|5578|5595|5998|6595|7161|57007|63976|64506|342977,ADARB2|ALOX5|CNR2|FLII|MSH6|IRF7|MBP|NFIA|PFKFB3|PIK3CD|PRKCA|MAPK3|RGS3|SMARCA2|TP73|ACKR3|PRDM16|CPEB1|NANOS3,-1.1,MyList
DisGeNET,35,C0553580,Ewings sarcoma,,-3.5,2.6,4.2,30337,517,380,17,4.5,1.1,864|1434|1969|2022|2314|2621|2956|3315|4035|4773|5048|5133|5293|5395|5578|26147|57007,RUNX3|CSE1L|EPHA2|ENG|FLII|GAS6|MSH6|HSPB1|LRP1|NFATC2|PAFAH1B1|PDCD1|PIK3CD|PMS2|PRKCA|PHF19|ACKR3,-1.1,MyList
DisGeNET,35,C1518922,peak expiratory flow (procedure),,-3.5,6.5,5.3,30337,74,380,6,1.6,0.64,4035|4330|9828|57553|256364|101929378,LRP1|MN1|ARHGEF17|MICAL3|EML3|LINC01876,-1.1,MyList
DisGeNET,35,C0239676,High forehead,,-3.5,3.8,4.6,30337,211,380,10,2.6,0.82,1487|1759|1855|3090|4784|5048|5605|9319|10815|64359,CTBP1|DNM1|DVL1|HIC1|NFIX|PAFAH1B1|MAP2K2|TRIP13|CPLX1|NXN,-1.1,MyList
DisGeNET,35,C0730328,Central Serous Chorioretinopathy,,-3.5,3.8,4.6,30337,211,380,10,2.6,0.82,864|1003|1788|5293|5595|6382|8140|9314|57007|406984,RUNX3|CDH5|DNMT3A|PIK3CD|MAPK3|SDC1|SLC7A5|KLF4|ACKR3|MIR200B,-1.1,MyList
DisGeNET,35,C3203102,Idiopathic pulmonary arterial hypertension,,-3.4,2.3,4,30337,776,380,22,5.8,1.2,240|1003|1487|2022|2034|3202|3339|4035|4773|4784|5023|5154|5209|5293|5595|5725|6586|6649|9314|9469|11332|22904,ALOX5|CDH5|CTBP1|ENG|EPAS1|HOXA5|HSPG2|LRP1|NFATC2|NFIX|P2RX1|PDGFA|PFKFB3|PIK3CD|MAPK3|PTBP1|SLIT3|SOD3|KLF4|CHST3|ACOT7|SBNO2,-1.1,MyList
DisGeNET,35,C0026998,"Acute Myeloid Leukemia, M1",,-3.4,4.6,4.8,30337,138,380,8,2.1,0.74,864|1269|1788|2052|2672|3315|4330|10801,RUNX3|CNR2|DNMT3A|EPHX1|GFI1|HSPB1|MN1|SEPTIN9,-1.1,MyList
DisGeNET,35,C1257915,Intestinal Polyposis,,-3.4,8.1,5.6,30337,49,380,5,1.3,0.58,1523|2022|2956|5395|9319,CUX1|ENG|MSH6|PMS2|TRIP13,-1.1,MyList
DisGeNET,35,C0153633,Malignant neoplasm of brain,,-3.4,3.3,4.4,30337,294,380,12,3.2,0.9,832|1969|2956|3315|3689|4155|5133|5293|5595|7161|57007|146664,CAPZB|EPHA2|MSH6|HSPB1|ITGB2|MBP|PDCD1|PIK3CD|MAPK3|TP73|ACKR3|MGAT5B,-1.1,MyList
Cell Type Signatures,7,M39121,AIZARANI LIVER C20 LSECS 3,,-3.4,3.2,4.4,30337,295,380,12,3.2,0.9,1003|2022|2034|3090|6886|7078|8553|22904|23499|57007|85358|89796,CDH5|ENG|EPAS1|HIC1|TAL1|TIMP3|BHLHE40|SBNO2|MACF1|ACKR3|SHANK3|NAV1,-1.1,MyList
Cell Type Signatures,7,M39284,DURANTE ADULT OLFACTORY NEUROEPITHELIUM RESPIRATORY COLUMNAR CELLS,,-3.4,11,6.2,30337,28,380,4,1.1,0.52,218|1999|2034|3315,ALDH3A1|ELF3|EPAS1|HSPB1,-1.1,MyList
DisGeNET,35,C0278650,Childhood Supratentorial Ependymoma,,-3.4,20,7.4,30337,12,380,3,0.79,0.45,5133|9825|65998,PDCD1|SPATA2|ZFTA,-1.1,MyList
DisGeNET,35,C1968999,Rib segmentation abnormalities,,-3.4,20,7.4,30337,12,380,3,0.79,0.45,1487|3955|10815,CTBP1|LFNG|CPLX1,-1.1,MyList
DisGeNET,35,C0262444,Abnormality of the dentition,,-3.4,4.6,4.8,30337,140,380,8,2.1,0.74,6595|9394|10804|54082|54345|64359|84627|85358,SMARCA2|HS6ST1|GJB6|TSPEAR-AS1|SOX18|NXN|ZNF469|SHANK3,-1.1,MyList
DisGeNET,35,C3887461,Head and Neck Carcinoma,,-3.4,2.2,3.9,30337,786,380,22,5.8,1.2,240|864|1969|2052|2956|3315|3559|4772|5023|5133|5293|6382|6595|7078|7161|7465|8140|9319|9536|9922|57007|147138,ALOX5|RUNX3|EPHA2|EPHX1|MSH6|HSPB1|IL2RA|NFATC1|P2RX1|PDCD1|PIK3CD|SDC1|SMARCA2|TIMP3|TP73|WEE1|SLC7A5|TRIP13|PTGES|IQSEC1|ACKR3|TMC8,-1,MyList
COVID,200,COVID061,Phosphoproteome_Bouhaddou_Vero_E6_2h_Down,,-3.4,3.2,4.3,30337,300,380,12,3.2,0.9,1609|5395|9612|10801|23187|23499|26053|57648|58513|79026|85379|152877,DGKQ|PMS2|NCOR2|SEPTIN9|PHLDB1|MACF1|AUTS2|NHSL3|EPS15L1|AHNAK|KIAA1671|FAM53A,-1,MyList
COVID,200,COVID059,Phosphoproteome_Bouhaddou_Vero_E6_24h_Down,,-3.4,3.2,4.3,30337,300,380,12,3.2,0.9,1609|5395|9612|10458|23051|23187|23499|26053|57186|79026|83879|152877,DGKQ|PMS2|NCOR2|BAIAP2|ZHX3|PHLDB1|MACF1|AUTS2|RALGAPA2|AHNAK|CDCA7|FAM53A,-1,MyList
COVID,200,COVID378,Interactome_Laurent_HEK293_24h_NSP7,,-3.4,3.2,4.3,30337,300,380,12,3.2,0.9,115|1523|2314|9612|9745|10603|55229|57584|85379|89796|113146|445815,ADCY9|CUX1|FLII|NCOR2|ZNF536|SH2B2|PANK4|ARHGAP21|KIAA1671|NAV1|AHNAK2|PALM2AKAP2,-1,MyList
COVID,200,COVID065,Phosphoproteome_Bouhaddou_Vero_E6_8h_Down,,-3.4,3.2,4.3,30337,300,380,12,3.2,0.9,3983|5395|9612|23051|23187|23327|26053|57186|57553|58513|79026|152877,ABLIM1|PMS2|NCOR2|ZHX3|PHLDB1|NEDD4L|AUTS2|RALGAPA2|MICAL3|EPS15L1|AHNAK|FAM53A,-1,MyList
COVID,200,COVID243,RNA_Riva_Vero-E6_24h_Up,,-3.4,3.2,4.3,30337,300,380,12,3.2,0.9,639|1969|5209|5909|7071|8553|9314|22904|57585|64359|92922|445815,PRDM1|EPHA2|PFKFB3|RAP1GAP|KLF10|BHLHE40|KLF4|SBNO2|CRAMP1|NXN|CCDC102A|PALM2AKAP2,-1,MyList
COVID,200,COVID298,RNA_Wilk_NK-cells_patient-C5_Down,,-3.3,11,6.1,30337,29,380,4,1.1,0.52,3689|23499|51411|79026,ITGB2|MACF1|BIN2|AHNAK,-1,MyList
DisGeNET,35,C0023465,Acute monocytic leukemia,,-3.3,2.4,4,30337,633,380,19,5,1.1,1788|2034|2621|2672|2956|3559|3665|3689|4035|4298|4772|5048|5293|5725|9314|10801|11156|11332|63976,DNMT3A|EPAS1|GAS6|GFI1|MSH6|IL2RA|IRF7|ITGB2|LRP1|MLLT1|NFATC1|PAFAH1B1|PIK3CD|PTBP1|KLF4|SEPTIN9|PTP4A3|ACOT7|PRDM16,-1,MyList
DisGeNET,35,C0038586,Substance Use Disorders,,-3.3,3.7,4.4,30337,218,380,10,2.6,0.82,105|1269|1312|3983|5581|6886|7260|10160|57007|130497,ADARB2|CNR2|COMT|ABLIM1|PRKCE|TAL1|EIPR1|FARP1|ACKR3|OSR1,-1,MyList
DisGeNET,35,C1879321,Acute Myeloid Leukemia (AML-M2),,-3.3,4.5,4.7,30337,143,380,8,2.1,0.74,864|1269|1788|2052|2672|3315|4330|10801,RUNX3|CNR2|DNMT3A|EPHX1|GFI1|HSPB1|MN1|SEPTIN9,-1,MyList
Transcription Factor Targets,16,M19962,AR Q6,,-3.3,3.4,4.4,30337,259,380,11,2.9,0.86,1969|3200|3559|5595|9825|10044|23369|26960|55684|57007|389558,EPHA2|HOXA3|IL2RA|MAPK3|SPATA2|SH2D3C|PUM2|NBEA|RABL6|ACKR3|FAM180A,-1,MyList
DisGeNET,35,C0424605,Developmental delay (disorder),,-3.3,2.5,4,30337,584,380,18,4.7,1.1,1487|1523|1759|3559|3689|4155|4330|4774|5048|5293|5605|9228|10458|23499|26053|80790|84875|85358,CTBP1|CUX1|DNM1|IL2RA|ITGB2|MBP|MN1|NFIA|PAFAH1B1|PIK3CD|MAP2K2|DLGAP2|BAIAP2|MACF1|AUTS2|CMIP|PARP10|SHANK3,-1,MyList
Cell Type Signatures,7,M41701,TRAVAGLINI LUNG NONCLASSICAL MONOCYTE CELL,,-3.3,4,4.5,30337,180,380,9,2.4,0.78,1523|3955|6452|9314|10044|23654|26147|221472|254102,CUX1|LFNG|SH3BP2|KLF4|SH2D3C|PLXNB2|PHF19|FGD2|EHBP1L1,-1,MyList
Cell Type Signatures,7,M39054,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-3.3,2.7,4.1,30337,440,380,15,3.9,1,2817|3315|3625|3955|4035|4773|4774|4784|7078|9469|9516|9902|22997|55684|79026,GPC1|HSPB1|INHBB|LFNG|LRP1|NFATC2|NFIA|NFIX|TIMP3|CHST3|LITAF|MRC2|IGSF9B|RABL6|AHNAK,-1,MyList
DisGeNET,35,C0012734,Disruptive Behavior Disorder,,-3.3,18,7.1,30337,13,380,3,0.79,0.45,1312|6886|130497,COMT|TAL1|OSR1,-0.99,MyList
DisGeNET,35,C0221500,Effects of heat,,-3.3,18,7.1,30337,13,380,3,0.79,0.45,3315|5293|5595,HSPB1|PIK3CD|MAPK3,-0.99,MyList
DisGeNET,35,C1861324,Short philtrum,,-3.3,3.9,4.5,30337,182,380,9,2.4,0.78,1312|1487|1855|2022|2314|4784|10815|26053|64359,COMT|CTBP1|DVL1|ENG|FLII|NFIX|CPLX1|AUTS2|NXN,-0.99,MyList
Transcription Factor Targets,16,M10921,AREB6 03,,-3.3,3.3,4.3,30337,263,380,11,2.9,0.86,886|1788|3985|5154|10044|26960|54961|79990|130497|339983|374655,CCKAR|DNMT3A|LIMK2|PDGFA|SH2D3C|NBEA|SSH3|PLEKHH3|OSR1|NAT8L|ZNF710,-0.98,MyList
DisGeNET,35,C0005411,Biliary Atresia,,-3.3,3.9,4.5,30337,184,380,9,2.4,0.78,1788|2034|2817|3665|3689|5154|5595|84869|406984,DNMT3A|EPAS1|GPC1|IRF7|ITGB2|PDGFA|MAPK3|CBR4|MIR200B,-0.97,MyList
DisGeNET,35,C3714636,Pneumonitis,,-3.3,2.3,3.9,30337,696,380,20,5.3,1.1,240|1269|1523|1969|2395|2621|3315|3559|3689|4773|5133|5293|5578|5595|6382|7071|9314|9536|51477|57007,ALOX5|CNR2|CUX1|EPHA2|FXN|GAS6|HSPB1|IL2RA|ITGB2|NFATC2|PDCD1|PIK3CD|PRKCA|MAPK3|SDC1|KLF10|KLF4|PTGES|ISYNA1|ACKR3,-0.96,MyList
Transcription Factor Targets,16,M7236,LMO2COM 01,,-3.3,3.3,4.3,30337,265,380,11,2.9,0.86,1788|1969|5590|10044|26960|51764|79990|116986|116988|130497|374655,DNMT3A|EPHA2|PRKCZ|SH2D3C|NBEA|GNG13|PLEKHH3|AGAP2|AGAP3|OSR1|ZNF710,-0.96,MyList
Transcription Factor Targets,16,M1716,RAAGNYNNCTTY UNKNOWN,,-3.2,4.3,4.6,30337,148,380,8,2.1,0.74,864|3202|7434|8291|23051|83648|116986|161882,RUNX3|HOXA5|VIPR2|DYSF|ZHX3|FAM167A|AGAP2|ZFPM1,-0.95,MyList
DisGeNET,35,C0205969,Thymic Carcinoma,,-3.2,5.8,4.9,30337,82,380,6,1.6,0.64,1788|5133|5293|8140|9536|9825,DNMT3A|PDCD1|PIK3CD|SLC7A5|PTGES|SPATA2,-0.95,MyList
DisGeNET,35,C0342384,Idiopathic hypogonadotropic hypogonadism,,-3.2,5.8,4.9,30337,82,380,6,1.6,0.64,864|4772|5361|5595|9394|57007,RUNX3|NFATC1|PLXNA1|MAPK3|HS6ST1|ACKR3,-0.95,MyList
DisGeNET,35,C0852036,Pregnancy associated hypertension,,-3.2,3.9,4.4,30337,186,380,9,2.4,0.78,240|2022|3339|3559|5133|5293|6382|11332|51477,ALOX5|ENG|HSPG2|IL2RA|PDCD1|PIK3CD|SDC1|ACOT7|ISYNA1,-0.95,MyList
DisGeNET,35,C0751213,Tactile Allodynia,,-3.2,4.9,4.7,30337,114,380,7,1.8,0.69,240|1269|1312|4035|5581|5590|5595,ALOX5|CNR2|COMT|LRP1|PRKCE|PRKCZ|MAPK3,-0.95,MyList
Transcription Factor Targets,16,M5568,ETS1 B,,-3.2,3.3,4.2,30337,268,380,11,2.9,0.86,2107|3090|5998|10636|23526|50619|54863|79652|116986|153090|201305,ETF1|HIC1|RGS3|RGS14|ARHGAP45|DEF6|TOR4A|TMEM204|AGAP2|DAB2IP|SPNS3,-0.94,MyList
Transcription Factor Targets,16,M1532,EGR1 01,,-3.2,3.3,4.2,30337,269,380,11,2.9,0.86,3202|5048|7022|7171|9902|22883|29933|79990|94086|161882|387882,HOXA5|PAFAH1B1|TFAP2C|TPM4|MRC2|CLSTN1|GPR132|PLEKHH3|HSPB9|ZFPM1|C12orf75,-0.94,MyList
Transcription Factor Targets,16,M12818,AML Q6,,-3.2,3.3,4.2,30337,269,380,11,2.9,0.86,2107|2672|3142|3216|3985|5048|5802|23136|23526|92922|201176,ETF1|GFI1|HLX|HOXB6|LIMK2|PAFAH1B1|PTPRS|EPB41L3|ARHGAP45|CCDC102A|ARHGAP27,-0.94,MyList
Cell Type Signatures,7,M39094,ZHONG PFC C7 SST LHX6 POS PUTATIVE MIGRATING INTERNEURON,,-3.2,17,6.8,30337,14,380,3,0.79,0.45,379|26468|57007,ARL4D|LHX6|ACKR3,-0.94,MyList
DisGeNET,35,C0013146,Drug abuse,,-3.2,2.8,4,30337,404,380,14,3.7,0.97,105|435|1269|1312|1434|3315|3983|5581|5725|6886|7260|10160|54897|57007,ADARB2|ASL|CNR2|COMT|CSE1L|HSPB1|ABLIM1|PRKCE|PTBP1|TAL1|EIPR1|FARP1|CASZ1|ACKR3,-0.94,MyList
DisGeNET,35,C0042345,Varicosity,,-3.2,3.8,4.4,30337,188,380,9,2.4,0.78,1312|2034|3689|4773|5578|7078|9469|51764|54897,COMT|EPAS1|ITGB2|NFATC2|PRKCA|TIMP3|CHST3|GNG13|CASZ1,-0.94,MyList
Transcription Factor Targets,16,M40810,ZNF579 TARGET GENES,,-3.2,2.3,3.9,30337,652,380,19,5,1.1,1312|1788|3689|3955|5395|5998|9314|22997|23353|26119|50619|51252|55182|57553|57593|57648|81873|401303|101928784,COMT|DNMT3A|ITGB2|LFNG|PMS2|RGS3|KLF4|IGSF9B|SUN1|LDLRAP1|DEF6|FAM178B|RNF220|MICAL3|EBF4|NHSL3|ARPC5L|ZNF815P|RORA-AS1,-0.94,MyList
DisGeNET,35,C0751396,Well Differentiated Oligodendroglioma,,-3.2,3.3,4.2,30337,270,380,11,2.9,0.86,1434|2034|2395|2956|3339|4155|5154|5293|6595|7161|7799,CSE1L|EPAS1|FXN|MSH6|HSPG2|MBP|PDGFA|PIK3CD|SMARCA2|TP73|PRDM2,-0.94,MyList
DisGeNET,35,C0026603,Motion Sickness,,-3.2,10,5.7,30337,32,380,4,1.1,0.52,1269|5595|26053|63976,CNR2|MAPK3|AUTS2|PRDM16,-0.94,MyList
DisGeNET,35,C0036095,Salivary Gland Neoplasms,,-3.2,4.8,4.6,30337,116,380,7,1.8,0.69,218|2022|2621|2956|6382|51477|57007,ALDH3A1|ENG|GAS6|MSH6|SDC1|ISYNA1|ACKR3,-0.94,MyList
DisGeNET,35,C0005587,"Depression, Bipolar",,-3.2,4.8,4.6,30337,116,380,7,1.8,0.69,1312|1523|2022|6196|8553|10815|84628,COMT|CUX1|ENG|RPS6KA2|BHLHE40|CPLX1|NTNG2,-0.94,MyList
DisGeNET,35,C0458247,Allodynia,,-3.2,5.7,4.9,30337,84,380,6,1.6,0.64,240|1269|1312|5581|5590|5595,ALOX5|CNR2|COMT|PRKCE|PRKCZ|MAPK3,-0.94,MyList
DisGeNET,35,C0751211,"Hyperalgesia, Primary",,-3.2,5.7,4.9,30337,84,380,6,1.6,0.64,240|1269|1312|5581|5590|5595,ALOX5|CNR2|COMT|PRKCE|PRKCZ|MAPK3,-0.94,MyList
DisGeNET,35,C3469521,"FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)",,-3.2,2.9,4.1,30337,359,380,13,3.4,0.93,864|1487|2395|2956|3090|5209|5395|7161|7465|29933|55388|79661|90427,RUNX3|CTBP1|FXN|MSH6|HIC1|PFKFB3|PMS2|TP73|WEE1|GPR132|MCM10|NEIL1|BMF,-0.94,MyList
DisGeNET,35,C0795690,Congenital omphalocele,,-3.2,5.6,4.8,30337,85,380,6,1.6,0.64,3090|4035|4784|5048|6573|64359,HIC1|LRP1|NFIX|PAFAH1B1|SLC19A1|NXN,-0.91,MyList
DisGeNET,35,C0005940,Bone Diseases,,-3.1,3,4.1,30337,317,380,12,3.2,0.9,1523|1999|2022|2052|2672|4035|5293|6382|6452|11156|23499|63976,CUX1|ELF3|ENG|EPHX1|GFI1|LRP1|PIK3CD|SDC1|SH3BP2|PTP4A3|MACF1|PRDM16,-0.9,MyList
DisGeNET,35,C0023492,"Leukemia, T-Cell",,-3.1,2.6,3.9,30337,457,380,15,3.9,1,1312|1523|1788|2956|3559|3689|4035|5133|5293|5595|5771|6886|9825|26053|57007,COMT|CUX1|DNMT3A|MSH6|IL2RA|ITGB2|LRP1|PDCD1|PIK3CD|MAPK3|PTPN2|TAL1|SPATA2|AUTS2|ACKR3,-0.9,MyList
Transcription Factor Targets,16,M14350,NKX22 01,,-3.1,3.7,4.3,30337,192,380,9,2.4,0.78,3200|4774|4784|5998|6586|55684|56262|161502|339983,HOXA3|NFIA|NFIX|RGS3|SLIT3|RABL6|LRRC8A|CFAP161|NAT8L,-0.9,MyList
DisGeNET,35,C0279070,Adult Oligodendroglioma,,-3.1,4.1,4.4,30337,154,380,8,2.1,0.74,1434|2395|2956|3339|4155|5293|6595|7161,CSE1L|FXN|MSH6|HSPG2|MBP|PIK3CD|SMARCA2|TP73,-0.9,MyList
DisGeNET,35,C0280475,Childhood Oligodendroglioma,,-3.1,4.1,4.4,30337,154,380,8,2.1,0.74,1434|2395|2956|3339|4155|5293|6595|7161,CSE1L|FXN|MSH6|HSPG2|MBP|PIK3CD|SMARCA2|TP73,-0.9,MyList
DisGeNET,35,C0278996,Malignant Head and Neck Neoplasm,,-3.1,2.2,3.7,30337,767,380,21,5.5,1.2,240|864|1969|2034|2052|2956|3315|3559|4772|5023|5133|5293|5595|6595|7078|7161|7465|9319|9922|57007|147138,ALOX5|RUNX3|EPHA2|EPAS1|EPHX1|MSH6|HSPB1|IL2RA|NFATC1|P2RX1|PDCD1|PIK3CD|MAPK3|SMARCA2|TIMP3|TP73|WEE1|TRIP13|IQSEC1|ACKR3|TMC8,-0.89,MyList
DisGeNET,35,C0279583,Childhood T Acute Lymphoblastic Leukemia,,-3.1,4.7,4.5,30337,119,380,7,1.8,0.69,924|1788|5293|5578|6886|7161|63976,CD7|DNMT3A|PIK3CD|PRKCA|TAL1|TP73|PRDM16,-0.89,MyList
DisGeNET,35,C0027022,Myeloproliferative disease,,-3.1,2.8,4,30337,365,380,13,3.4,0.93,240|864|1523|1788|2621|2672|3315|3559|4330|5048|5133|5293|84627,ALOX5|RUNX3|CUX1|DNMT3A|GAS6|GFI1|HSPB1|IL2RA|MN1|PAFAH1B1|PDCD1|PIK3CD|ZNF469,-0.89,MyList
DisGeNET,35,C0200638,Eosinophil count procedure,,-3.1,2.4,3.8,30337,610,380,18,4.7,1.1,864|1269|1523|3559|3985|4773|4782|5771|8019|9612|10636|22904|54965|57597|58513|80305|80790|161882,RUNX3|CNR2|CUX1|IL2RA|LIMK2|NFATC2|NFIC|PTPN2|BRD3|NCOR2|RGS14|SBNO2|PIGX|BAHCC1|EPS15L1|TRABD|CMIP|ZFPM1,-0.89,MyList
Cell Type Signatures,7,M39306,CUI DEVELOPING HEART C9 B T CELL,,-3.1,4.1,4.4,30337,155,380,8,2.1,0.74,864|924|3689|8519|9516|23526|51411|147138,RUNX3|CD7|ITGB2|IFITM1|LITAF|ARHGAP45|BIN2|TMC8,-0.89,MyList
DisGeNET,35,C0008925,Cleft Palate,,-3.1,2.4,3.8,30337,611,380,18,4.7,1.1,1298|1312|1487|2049|2314|3339|3955|4330|6573|9319|9394|9469|10801|10815|23327|23498|65250|84627,COL9A2|COMT|CTBP1|EPHB3|FLII|HSPG2|LFNG|MN1|SLC19A1|TRIP13|HS6ST1|CHST3|SEPTIN9|CPLX1|NEDD4L|HAAO|CPLANE1|ZNF469,-0.89,MyList
Cell Type Signatures,7,M39052,MANNO MIDBRAIN NEUROTYPES HOPC,,-3.1,2.8,4,30337,366,380,13,3.4,0.93,575|3625|4035|4784|5578|22997|51084|51090|64506|79661|89958|202333|219654,ADGRB1|INHBB|LRP1|NFIX|PRKCA|IGSF9B|CRYL1|PLLP|CPEB1|NEIL1|SAPCD2|CMYA5|ZCCHC24,-0.89,MyList
DisGeNET,35,C4524856,Refractory Classic Hodgkin Lymphoma,,-3.1,16,6.5,30337,15,380,3,0.79,0.45,5133|5293|9825,PDCD1|PIK3CD|SPATA2,-0.89,MyList
DisGeNET,35,C0856169,Endothelial dysfunction,,-3.1,2.2,3.8,30337,716,380,20,5.3,1.1,1003|2022|2621|3689|5023|5293|5578|5595|6382|6533|6649|9314|9469|9536|10804|55620|57007|284207|342977|406984,CDH5|ENG|GAS6|ITGB2|P2RX1|PIK3CD|PRKCA|MAPK3|SDC1|SLC6A6|SOD3|KLF4|CHST3|PTGES|GJB6|STAP2|ACKR3|METRNL|NANOS3|MIR200B,-0.89,MyList
DisGeNET,35,C0023267,Fibroid Tumor,,-3.1,2.7,3.9,30337,413,380,14,3.7,0.97,1312|1523|1677|1788|4053|5293|7022|8140|8519|9314|9469|9612|23180|376497,COMT|CUX1|DFFB|DNMT3A|LTBP2|PIK3CD|TFAP2C|SLC7A5|IFITM1|KLF4|CHST3|NCOR2|RFTN1|SLC27A1,-0.89,MyList
Cell Type Signatures,7,M39200,HAY BONE MARROW IMMATURE NEUTROPHIL,,-3.1,3.7,4.3,30337,194,380,9,2.4,0.78,5209|6452|6533|7071|8553|23136|51422|201176|284207,PFKFB3|SH3BP2|SLC6A6|KLF10|BHLHE40|EPB41L3|PRKAG2|ARHGAP27|METRNL,-0.89,MyList
COVID,200,COVID055,Phosphoproteome_Bouhaddou_Vero_E6_0h_Down,,-3.1,3.2,4.1,30337,277,380,11,2.9,0.86,2956|3801|4298|5595|9612|9922|10801|23499|79026|83879|147179,MSH6|KIFC3|MLLT1|MAPK3|NCOR2|IQSEC1|SEPTIN9|MACF1|AHNAK|CDCA7|WIPF2,-0.89,MyList
Transcription Factor Targets,16,M18169,YATGNWAAT OCT C,,-3.1,2.8,4,30337,367,380,13,3.4,0.93,639|1523|1952|2049|3200|3202|3216|4774|7022|10801|22859|26468|55229,PRDM1|CUX1|CELSR2|EPHB3|HOXA3|HOXA5|HOXB6|NFIA|TFAP2C|SEPTIN9|ADGRL1|LHX6|PANK4,-0.89,MyList
DisGeNET,35,C0020676,Hypothyroidism,,-3.1,2.3,3.8,30337,613,380,18,4.7,1.1,832|1312|2314|2817|3559|4035|4772|5133|5293|5595|8553|9319|9612|56262|63976|119391|168002|221472,CAPZB|COMT|FLII|GPC1|IL2RA|LRP1|NFATC1|PDCD1|PIK3CD|MAPK3|BHLHE40|TRIP13|NCOR2|LRRC8A|PRDM16|GSTO2|DACT2|FGD2,-0.89,MyList
DisGeNET,35,C2347748,Adult Erythroleukemia,,-3.1,3.4,4.1,30337,236,380,10,2.6,0.82,2034|2314|2672|3339|5293|5595|6886|22821|57007|161882,EPAS1|FLII|GFI1|HSPG2|PIK3CD|MAPK3|TAL1|RASA3|ACKR3|ZFPM1,-0.88,MyList
Cell Type Signatures,7,M39194,HAY BONE MARROW DENDRITIC CELL,,-3.1,3.7,4.2,30337,196,380,9,2.4,0.78,1312|1969|3665|5802|8140|79805|148641|201305|387882,COMT|EPHA2|IRF7|PTPRS|SLC7A5|VASH2|SLC35F3|SPNS3|C12orf75,-0.87,MyList
DisGeNET,35,C4520840,Erythroleukemia (Erythroid/Myeloid),,-3.1,3.4,4.1,30337,237,380,10,2.6,0.82,2034|2314|2672|3339|5293|5595|6886|22821|57007|161882,EPAS1|FLII|GFI1|HSPG2|PIK3CD|MAPK3|TAL1|RASA3|ACKR3|ZFPM1,-0.87,MyList
DisGeNET,35,C1839326,Abnormal form of the vertebral bodies,,-3,5.4,4.7,30337,89,380,6,1.6,0.64,1487|2314|3955|9469|10815|65250,CTBP1|FLII|LFNG|CHST3|CPLX1|CPLANE1,-0.86,MyList
Transcription Factor Targets,16,M6052,YCATTAA UNKNOWN,,-3,2.4,3.8,30337,567,380,17,4.5,1.1,639|864|1969|2107|2779|3200|3216|7022|11187|26468|56937|58504|79026|116988|130497|146664|342667,PRDM1|RUNX3|EPHA2|ETF1|GNAT1|HOXA3|HOXB6|TFAP2C|PKP3|LHX6|PMEPA1|ARHGAP22|AHNAK|AGAP3|OSR1|MGAT5B|STAC2,-0.86,MyList
